Engineering Strain X,True Stress(MPa) Y
0.01,0.00760017483552478
0.011,0.0138585096888333
0.012,0.0170292384015989
0.013,0.0168783277606686
0.014,0.016170743709826
0.015,0.0162430483540676
0.016,0.0164186970961442
0.017,0.0163904853688344
0.018,0.0163565989410888
0.019,0.0163689222650945
0.02,0.0163383613039061
0.021,0.016330209000178
0.022,0.0164898281079058
0.023,0.0164819969851768
0.0240000000000001,0.0158542406509117
0.025,0.0160015821040274
0.0260000000000001,0.0187732355287391
0.027,0.0216562798176909
0.0280000000000001,0.0212539302164343
0.029,0.0215186121089026
0.0300000000000001,0.0272756301929409
0.031,0.0326671087941683
0.0320000000000001,0.0309730993077277
0.033,0.0272154072003099
0.034,0.0271248367576717
0.035,0.027249665550718
0.036,0.0268648815211305
0.037,0.0263246776730695
0.038,0.0256738171062363
0.0390000000000001,0.0249570629203317
0.04,0.02421917821506
0.0410000000000001,0.0235049260901183
0.042,0.02285906964521
0.0430000000000001,0.0223263719800357
0.044,0.0219515961942962
0.0450000000000001,0.0219353245901512
0.046,0.0249001908590936
0.0470000000000001,0.0291628083910815
0.048,0.0322100975925919
0.0490000000000001,0.0324637656701414
0.05,0.0318989777825651
0.0510000000000001,0.0339169510039072
0.052,0.0368664929930143
0.0530000000000001,0.0401852862570076
0.0540000000000001,0.0430068278518823
0.0550000000000001,0.0448395713793524
0.0560000000000001,0.0439227588484927
0.0570000000000001,0.0433182084752808
0.0580000000000001,0.0435845978221456
0.0590000000000001,0.0437207626806897
0.0600000000000001,0.0436473682407623
0.0610000000000001,0.0436347058599926
0.0620000000000001,0.0436420262711366
0.063,0.043575971718238
0.0640000000000001,0.0436384786471198
0.065,0.0446441643011593
0.0660000000000001,0.0495283956922563
0.067,0.0591815815845962
0.0680000000000001,0.0657568028020492
0.069,0.0637386973878611
0.07,0.059444720747476
0.0710000000000001,0.0586179881256204
0.072,0.0606701565934635
0.0730000000000001,0.0638249560284709
0.074,0.0657910446141017
0.0750000000000001,0.0657419893279601
0.076,0.0654337951653412
0.0770000000000001,0.0655926738842316
0.078,0.0651348880305021
0.0790000000000001,0.0647011818487533
0.08,0.0670682164207959
0.0810000000000001,0.0706255956014728
0.0820000000000001,0.0694120503861235
0.0830000000000001,0.0655765983739611
0.0840000000000001,0.0680461478286034
0.0850000000000001,0.0748958961515767
0.0860000000000001,0.0766566499199737
0.0870000000000001,0.0757196443646944
0.0880000000000001,0.0809246387930056
0.0890000000000001,0.0870888055165064
0.0900000000000001,0.0833978663485926
0.0910000000000001,0.0767014106374369
0.0920000000000001,0.0795087165864725
0.0930000000000001,0.0867807516983445
0.0940000000000001,0.0886916692813626
0.0950000000000001,0.087314374029706
0.0960000000000001,0.0879947367130205
0.0970000000000001,0.0929060986909622
0.0980000000000001,0.101905379026181
0.0990000000000001,0.109519612696216
0.1,0.111122699674858
0.101,0.108600807617714
0.102,0.105088359950899
0.103,0.103668553907
0.104,0.105957539026226
0.105,0.11036453963718
0.106,0.115704722930233
0.107,0.122318309593672
0.108,0.128831830858736
0.109,0.131021810824709
0.11,0.12990533533425
0.111,0.133653321174742
0.112,0.143062904238781
0.113,0.150123502272137
0.114,0.152383648888462
0.115,0.15296378833004
0.116,0.153303426428636
0.117,0.15338469465976
0.118,0.152991684985676
0.119,0.151158894900962
0.12,0.151420506374144
0.121,0.159948285386585
0.122,0.168683463066378
0.123,0.165641686646964
0.124,0.162824097827155
0.125,0.166924464212918
0.126,0.172552338565882
0.127,0.179270010835036
0.128,0.186135581840407
0.129,0.192207152402025
0.13,0.196852633339104
0.131,0.19771572698824
0.132,0.196838330364637
0.133,0.207316174143441
0.134,0.219973480306054
0.135,0.227239163801882
0.136,0.234976066287455
0.137,0.245780541817735
0.138,0.251624716801771
0.139,0.250484615000563
0.14,0.252766802397595
0.141,0.260187782826876
0.142,0.260286160585229
0.143,0.254688822871528
0.144,0.263299288416538
0.145,0.285801180229134
0.146,0.300032463510462
0.147,0.303460962596311
0.148,0.31144827560052
0.149,0.324086319515169
0.15,0.329938237486829
0.151,0.328247030244136
0.152,0.325668738940801
0.153,0.329996842314556
0.154,0.347554170642646
0.155,0.368429271189108
0.156,0.37796904199262
0.157,0.381330511283863
0.158,0.389112104555232
0.159,0.397939096252367
0.16,0.401740998708513
0.161,0.403721083718448
0.162,0.408375439936985
0.163,0.415147840419021
0.164,0.422898723948267
0.165,0.432415203195391
0.166,0.44276108675832
0.167,0.447464074332704
0.168,0.44676107663646
0.169,0.457743440088577
0.17,0.48373405289142
0.171,0.498093777192437
0.172,0.494350346386421
0.173,0.503112780582508
0.174,0.53164150091003
0.175,0.551416988757548
0.176,0.552654128586584
0.177,0.550206461435477
0.178,0.555459785960336
0.179,0.574198034536177
0.18,0.598679701140474
0.181,0.61134856108264
0.182,0.614604606819058
0.183,0.623854799825653
0.184,0.636264288218716
0.185,0.640394790222938
0.186,0.649843365623531
0.187,0.668373597790322
0.188,0.690068398137083
0.189,0.712234025229699
0.19,0.729957283285895
0.191,0.742246804499651
0.192,0.741845903787974
0.193,0.748511319135602
0.194,0.756650247278466
0.195,0.759658793166865
0.196,0.771357716155981
0.197,0.800323218464741
0.198,0.826968218444345
0.199,0.836965995631529
0.2,0.841297425114865
0.201,0.849795626477614
0.202,0.862070756909721
0.203,0.875751993860559
0.204,0.887260769329218
0.205,0.895541351264873
0.206,0.90342312743168
0.207,0.912039623820301
0.208,0.920128503975444
0.209,0.930501368455558
0.21,0.949870018661128
0.211,0.971448175673261
