strain,stress
8.324999098106763973e-02,-2.676628900000000214e-04
8.349997830688489497e-02,7.543897000000000525e-05
8.375004509466228708e-02,-1.841187700000000010e-04
8.400003242047976437e-02,-4.461767799999999786e-04
8.425001974629700574e-02,-2.407415899999999916e-04
8.450000707211448303e-02,3.655138399999999861e-04
8.474999439793196032e-02,-2.661323300000000155e-04
8.499998172374921557e-02,-4.805632800000000059e-04
8.524996904956669286e-02,-8.638978099999999882e-05
8.550003583734384904e-02,4.909154299999999877e-04
8.575002316316132633e-02,-6.808811299999999568e-04
8.600001048897880362e-02,3.564172299999999885e-04
8.624999781479605887e-02,1.931864200000000056e-04
8.649998514061352228e-02,-2.022382100000000120e-04
8.674997246643099957e-02,5.689739900000000171e-04
8.700003925420816964e-02,-6.335091700000000344e-05
8.725002658002564693e-02,-7.588035399999999622e-04
8.750001390584312422e-02,3.209594300000000178e-04
8.775000123166036559e-02,2.810225099999999888e-04
8.799998855747784288e-02,-3.584703699999999870e-04
8.824997588329509812e-02,-5.629157399999999570e-04
8.850004267107249023e-02,3.077954900000000240e-04
8.875002999688996752e-02,2.222686900000000012e-04
8.900001732270720889e-02,-3.716205099999999911e-04
8.925000464852468618e-02,-2.371586500000000134e-04
8.949999197434216347e-02,2.650533299999999941e-04
8.974997930015940484e-02,-3.883614400000000213e-04
9.000004608793679695e-02,-9.164007100000000306e-04
9.025003341375427424e-02,-4.625502500000000256e-04
9.050002073957152948e-02,3.083969799999999937e-04
9.075000806538900677e-02,-7.129465400000000114e-04
9.099999539120624814e-02,-2.832468800000000259e-04
9.124998271702372543e-02,2.783221799999999950e-04
9.149997004284120272e-02,-3.816428199999999924e-04
9.175003683061837279e-02,-7.235670800000000525e-04
9.200002415643585008e-02,1.023725199999999920e-03
9.225001148225331349e-02,-3.958683599999999829e-04
9.249999880807056873e-02,-7.246733899999999650e-04
9.274998613388804602e-02,1.351259600000000042e-04
9.299997345970552332e-02,1.428586400000000109e-04
9.325004024748267950e-02,-4.970321400000000039e-05
9.350002757330015679e-02,-6.460045499999999608e-05
9.375001489911741204e-02,2.665659199999999762e-04
9.400000222493488933e-02,-7.112846199999999777e-04
9.424998955075236662e-02,-7.365035600000000449e-04
9.449997687656960799e-02,1.331285899999999904e-04
9.475004366434700009e-02,-7.410088499999999958e-05
9.500003099016447738e-02,-9.248015700000000510e-05
9.525001831598173263e-02,1.963565300000000118e-04
9.550000564179919604e-02,-6.204410599999999817e-04
9.574999296761667333e-02,-1.806256299999999893e-04
9.599998029343392858e-02,1.438143399999999991e-04
9.625004708121132069e-02,1.303505499999999949e-04
9.650003440702856206e-02,-8.867115300000000385e-04
9.675002173284603935e-02,2.720750099999999936e-05
9.700000905866351664e-02,-1.942063500000000011e-04
9.724999638448077188e-02,1.246782799999999938e-04
9.749998371029824917e-02,7.735277099999999639e-05
9.774997103611571259e-02,-2.798617200000000057e-04
9.800003782389288265e-02,-2.469701099999999962e-04
9.825002514971035994e-02,1.139615700000000013e-04
9.850001247552783723e-02,2.583708999999999897e-04
9.874999980134507860e-02,2.915708100000000044e-05
9.899998712716255589e-02,-8.348371599999999601e-04
9.924997445298003318e-02,-2.504052100000000135e-04
9.950004124075720324e-02,6.439372300000000275e-05
9.975002856657468053e-02,4.118157199999999962e-04
1.000000158923919219e-01,-2.528278199999999865e-04
1.002500032182093992e-01,-2.153018300000000081e-04
1.004999905440268765e-01,4.489266700000000242e-04
1.007499778698441317e-01,-7.573385699999999774e-04
1.010000446576215238e-01,-2.538183999999999753e-04
1.012500319834389872e-01,4.024919799999999797e-04
1.015000193092562425e-01,8.816320600000000633e-05
1.017500066350737198e-01,7.042286199999999558e-05
1.019999939608909750e-01,-1.220906099999999935e-04
1.022499812867084384e-01,1.198582499999999938e-04
1.025000480744858306e-01,4.385768299999999735e-04
1.027500354003030858e-01,-1.912623600000000110e-04
1.030000227261205631e-01,-8.452639399999999992e-04
1.032500100519380404e-01,1.409470300000000063e-04
1.034999973777552817e-01,-1.688075300000000084e-04
1.037499847035727590e-01,-1.898665800000000079e-05
1.039999720293902363e-01,1.115340199999999944e-04
1.042500388171674064e-01,-1.073346900000000069e-03
1.045000261429848837e-01,1.884815900000000007e-04
1.047500134688021250e-01,8.553938699999999668e-04
1.050000007946196023e-01,3.054007399999999806e-05
1.052499881204370796e-01,-2.128514700000000046e-04
1.054999754462543210e-01,-3.002368000000000051e-04
1.057500422340317131e-01,1.166999600000000013e-04
1.060000295598491904e-01,-5.128272100000000160e-04
1.062500168856664456e-01,5.337405499999999800e-05
1.065000042114839229e-01,-1.161220900000000034e-04
1.067499915373014002e-01,2.441502999999999924e-04
