Engineering Strain X,True Stress(MPa) Y
0.0690000000000001,0.0812794260167102
0.0700000000000001,0.0861956076209802
0.0710000000000001,0.0864885620246541
0.0720000000000001,0.0862812705947484
0.0730000000000001,0.0909864467322552
0.0740000000000002,0.097055441009156
0.0750000000000001,0.0988557844614353
0.0760000000000001,0.0974944733081822
0.0770000000000002,0.0961511065898622
0.078,0.0974677115113698
0.0790000000000001,0.102725871554642
0.0800000000000001,0.108546396075295
0.0810000000000001,0.111801504408556
0.0820000000000001,0.11391886282343
0.0830000000000001,0.116588663144925
0.0840000000000001,0.119554818556328
0.0850000000000001,0.122381596963896
0.0860000000000001,0.125045114504957
0.0870000000000001,0.1277042628788
0.0880000000000001,0.130769201139787
0.0890000000000001,0.133940501945773
0.0900000000000002,0.135552583294282
0.091,0.135350652809219
0.0920000000000001,0.135612721000015
0.0930000000000002,0.138052536432415
0.0940000000000002,0.143185132958199
0.095,0.149331278333549
0.0960000000000001,0.152326953692373
0.0970000000000001,0.151842921368581
0.0980000000000001,0.151844570484145
0.0990000000000001,0.15468812934827
0.1,0.160762036432838
0.101,0.166800057014213
0.102,0.167229029027792
0.103,0.166357486433315
0.104,0.174111492753293
0.105,0.18033239761743
0.106,0.165836960222209
0.107,0.150669736089756
0.108,0.170459564372475
0.109,0.20637365336728
0.11,0.219351680129142
0.111,0.216603459983468
0.112,0.221127242178159
0.113,0.231885037575696
0.114,0.240160458432546
0.115,0.243539496485333
0.116,0.242769566433794
0.117,0.243636644314162
0.118,0.250924691768032
0.119,0.260391053403273
0.12,0.267120766874736
0.121,0.270957470507843
0.122,0.273253073977407
0.123,0.276874727976602
0.124,0.282916209687436
0.125,0.28753534925272
0.126,0.289431266475935
0.127,0.294176710232578
0.128,0.30337789378325
0.129,0.309832906314154
0.13,0.311620080787769
0.131,0.316657368214197
0.132,0.326201220248757
0.133,0.331200275336825
0.134,0.332192008081288
0.135,0.341955780995739
0.136,0.360415457568083
0.137,0.373369670976882
0.138,0.377697135338914
0.139,0.381140928838872
0.14,0.38700278250777
0.141,0.394376218230591
0.142,0.399937053924994
0.143,0.399569615078442
0.144,0.399066808985309
0.145,0.408939286522006
0.146,0.424581467689856
0.147,0.43437060676334
0.148,0.438014647502832
0.149,0.440734124320845
0.15,0.44777818018114
0.151,0.455364008034354
0.152,0.463366717968758
0.153,0.470859636739029
0.154,0.476205700062475
0.155,0.479324618543464
0.156,0.487338379913366
0.157,0.498596946019593
0.158,0.512799661062499
0.159,0.526636291391873
0.16,0.537660189968318
0.161,0.540910445141764
0.162,0.534720760033786
0.163,0.532840818423631
0.164,0.543518066747488
0.165,0.556146718965987
0.166,0.570598143040213
0.167,0.583624459679042
0.168,0.593410017537047
0.169,0.592716041518698
0.17,0.589646269296698
0.171,0.59103644506176
0.172,0.596773987581313
0.173,0.608264908606818
0.174,0.621719717364779
0.175,0.632691039815883
0.176,0.644663680191937
0.177,0.656979772684407
0.178,0.668981451484758
0.179,0.680010850784456
0.18,0.689410104774965
0.181,0.696521347647753
