Stretch(λ),CauchyStress(σ)(kPa)
1.930533118,869.5526191
1.89273021,759.2971147
1.854927302,671.1546324
1.814216478,560.9229438
1.77641357,480.1514688
1.738610662,406.7510013
1.700807754,318.6085189
1.660096931,252.6028746
1.619386107,201.339245
1.581583199,150.0517995
1.540872375,120.901192
1.503069467,99.097776
1.465266559,77.29436001
1.424555735,55.51475988
1.348949919,34.02095001
1.270436187,27.29297075
