Engineering Strain X,True Stress(MPa) Y
0.146,0.243414006086044
0.147,0.239363643000564
0.148,0.241619466690084
0.149,0.245753953010669
0.15,0.250374581831792
0.151,0.253951351503724
0.152,0.254786151414185
0.153,0.253829909678328
0.154,0.261392112781283
0.155,0.274419366144327
0.156,0.28427056575611
0.157,0.290404184719372
0.158,0.295100572739032
0.159,0.298129159340229
0.16,0.298797531269972
0.161,0.298189970389355
0.162,0.297740499590939
0.163,0.298301294798042
0.164,0.300758555290598
0.165,0.306536782499099
0.166,0.315113015824634
0.167,0.320542742822839
0.168,0.320173648518158
0.169,0.320640605737572
0.17,0.325040379050436
0.171,0.327493876555147
0.172,0.3265228877571
0.173,0.329171408524847
0.174,0.337269238226081
0.175,0.344597008153923
0.176,0.348220827240207
0.177,0.349793831180678
0.178,0.353039205264479
0.179,0.362953375661833
0.18,0.375353309057969
0.181,0.379246753932795
0.182,0.377691436046148
0.183,0.382710506482701
0.184,0.391410555037864
0.185,0.393497226174957
0.186,0.393016304034064
0.187,0.392201795029903
0.188,0.392540785679127
0.189,0.398871344906948
0.19,0.40694996217684
0.191,0.408053727214778
0.192,0.407281859526348
0.193,0.411187650327646
0.194,0.41460523426326
0.195,0.413091198148353
0.196,0.415340080482013
0.197,0.427127092116825
0.198,0.437436753388071
0.199,0.439796409923971
0.2,0.444855759595341
0.201,0.451882625811691
0.202,0.460437379890666
0.203,0.468588591100697
0.204,0.475674145116765
0.205,0.476268496729723
0.206,0.46943402264926
0.207,0.463709133023825
0.208,0.471303846995016
0.209,0.48878063096469
0.21,0.496338692402521
0.211,0.490604246112745
0.212,0.483880904207394
0.213,0.484494746503619
0.214,0.491325237094491
0.215,0.499226956102383
0.216,0.507711413129839
0.217,0.515062798948792
0.218,0.52170729509402
0.219,0.523423627586934
0.22,0.526098418576644
0.221,0.530463771961522
0.222,0.534712110864167
0.223,0.53809135787392
0.224,0.54078416704048
0.225,0.545592355014573
0.226,0.554088403506229
0.227,0.560246029162045
0.228,0.559881943953107
0.229,0.560542925085818
0.23,0.56783177182092
0.231,0.57585219956673
0.232,0.579948263046255
0.233,0.582578180534315
0.234,0.58608540936051
0.235,0.590706191674776
0.236,0.595168905462704
0.237,0.596241338910286
0.238,0.595143518866533
0.239,0.599239123967335
0.24,0.608008929440821
0.241,0.611560083242887
0.242,0.610226299329221
0.243,0.614515317859703
0.244,0.623328636786636
0.245,0.626115673504152
0.246,0.624881107522247
0.247,0.62989709430803
0.248,0.638534840043874
0.249,0.64126823162184
0.25,0.64005220549614
0.251,0.64197279085637
0.252,0.64665803213188
0.253,0.650861094719067
0.254,0.65432485042461
0.255,0.657842928245272
0.256,0.661787476093659
0.257,0.666070502624286
0.258,0.669224967382018
0.259,0.669973214247288
0.26,0.66899183118485
0.261,0.667895220111444
0.262,0.669789790949428
0.263,0.676482787274609
0.264,0.684781342089393
0.265,0.689611479707153
0.266,0.693892616169931
0.267,0.69704931960534
0.268,0.698603762813663
0.269,0.697554878527742
0.27,0.700290970315394
0.271,0.708590846810718
