LAMMPS data file via write_data, version 30 Mar 2026, timestep = 10007, units = lj

20 atoms
1 atom types
19 bonds
1 bond types

0 20 xlo xhi
0 20 ylo yhi
0 20 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Bond Coeffs # fene

1 30 1.5 1 1

Atoms # bond

20 1 1 9.694415510773421 3.6470543406887233 9.72466056412495 0 0 0
19 1 1 8.718124167397251 3.487086609457971 9.505262214430847 0 0 0
18 1 1 8.102490682529565 4.163751926606663 9.218861346620281 0 0 0
15 1 1 9.758264567149006 6.0990854770642215 9.563795249640405 0 0 0
17 1 1 8.780266442717021 4.811821275590544 9.493950686739153 0 0 0
13 1 1 10.596016238202543 5.47831462547291 8.420555735921786 0 0 0
7 1 1 14.899998144825807 6.224657857082047 8.715898974444354 0 0 0
1 1 1 12.577221236113601 6.571437146792955 10.139438392557176 0 0 0
3 1 1 13.181544735939351 7.61352912011783 9.7096270676063 0 0 0
2 1 1 13.301166579984491 6.711426787596824 9.484144960222103 0 0 0
14 1 1 10.596702487778856 6.145690487209026 9.11123136384061 0 0 0
11 1 1 11.971144405743606 5.77595590510015 7.0848203366363425 0 0 0
10 1 1 12.690093421628637 6.326247432021434 7.420029504974193 0 0 0
16 1 1 9.203930360999713 5.571137114109354 9.062259817883481 0 0 0
9 1 1 13.68760334098685 6.131466351984868 7.575637716369834 0 0 0
12 1 1 11.302381661276787 5.53544878311284 7.78122785327214 0 0 0
8 1 1 14.073024928197002 5.745203736210036 8.349000584324514 0 0 0
6 1 1 14.829854481200421 6.643053408583745 9.643696570412585 0 0 0
5 1 1 14.898229680671026 7.362239970928367 10.183266753773731 0 0 0
4 1 1 13.988526925885077 7.386391644268404 10.256634306205257 0 0 0

Velocities

20 -0.4145289915876076 1.0728530524811193 0.7981888029519344
19 1.702390312427932 0.2520608011611915 1.1740055461344074
18 1.6322454940457451 -0.415507494430064 -0.6431772743602605
15 -0.1928767852916555 -0.24060989587487328 0.35870260309820273
17 0.3060512508205523 0.19298062538823701 0.16933607164737205
13 0.4285997317297918 2.2005768800418735 0.557718223343185
7 -0.4240412875243298 -0.4040251227985029 -0.780625293874161
1 -0.4236116412443314 -1.0295672728947551 -0.4399110643992703
3 -1.1090677193087846 1.4859474626532654 0.5822240653196621
2 -1.6374704161964124 -0.7631322276089374 0.5960566626202002
14 0.5198497176057427 0.017419474073096693 0.10732312449717311
11 0.37775228251467696 1.437105053312618 -1.792464027552055
10 -0.724845374150216 -0.7518481390155463 -0.5055996066543713
16 -0.15983945694734197 -2.4111959361404947 -0.6265576459172185
9 -1.1450404995592618 0.20946401532876327 -0.624922922594045
12 1.6640509444371892 0.8827805362550658 -0.08204259584129159
8 0.012938413523932159 -0.6254159472570845 0.44407048985149145
6 0.2595946637599422 -2.358190432961123 1.000185639116956
5 0.7015343724370737 0.49758728604950514 -1.140397798586734
4 -1.3736850114926296 0.7507172822366085 0.8478870011988258

Bonds

1 1 19 20
2 1 18 19
3 1 15 16
4 1 17 18
5 1 13 14
6 1 7 8
7 1 1 2
8 1 3 4
9 1 2 3
10 1 14 15
11 1 11 12
12 1 10 11
13 1 16 17
14 1 9 10
15 1 12 13
16 1 8 9
17 1 6 7
18 1 5 6
19 1 4 5
