Engineering Strain X,True Stress(MPa) Y
0.334,0.0440859329731602
0.335,0.0440998929920171
0.336,0.0441014306438121
0.337,0.0440829094024011
0.338,0.0440399178849842
0.339,0.0439960901065664
0.34,0.043989489763691
0.341,0.0440582994870848
0.342,0.0442203199218776
0.343,0.0443739005221056
0.344,0.0443740086327731
0.345,0.0440755502571244
0.346,0.0434470891294978
0.347,0.042915375923253
0.348,0.0430226039926855
0.349,0.0443105445238039
0.35,0.04698673105538
0.351,0.0503244258186524
0.352,0.0534349058903019
0.353,0.0554334245086938
0.354,0.0559434855195873
0.355,0.0555906330855989
0.356,0.0551176525334498
0.357,0.0552579957178179
0.358,0.0563032730432986
0.359,0.0579207159222672
0.36,0.0597303407288476
0.361,0.0613638443728723
0.362,0.0627323859539486
0.363,0.0640327275258217
0.364,0.0654745400127041
0.365,0.0672415532358115
0.366,0.0691518289752284
0.367,0.0707530124961555
0.368,0.0715864037276146
0.369,0.0712570759090225
0.37,0.0699464019833533
0.371,0.0681417366033648
0.372,0.0663332526236287
0.373,0.0649801545511903
0.374,0.0643536045316522
0.375,0.0646541718701073
0.376,0.0660822999769404
0.377,0.0686906943805907
0.378,0.0719156345620693
0.379,0.0750326527068763
0.38,0.0773175326499251
0.381,0.0783072767929212
0.382,0.0782938210967228
0.383,0.0777046821148899
0.384,0.0769667894823101
0.385,0.0764225045630655
0.386,0.0762420987818584
0.387,0.0765749306731272
0.388,0.0775657712389462
0.389,0.0791252173472963
0.39,0.0808227301281173
0.391,0.0822008371426577
0.392,0.0828205770980091
0.393,0.0827111075729825
0.394,0.0823945241562354
0.395,0.0824164015632054
0.396,0.0832806641478896
0.397,0.0848772225085019
0.398,0.0866279793387668
0.399,0.087943064720811
0.4,0.0883139751742121
0.401,0.0879966128417931
0.402,0.0876656391755959
0.403,0.0880000026265511
0.404,0.0895654546457978
0.405,0.0922154699522237
0.406,0.095527168470789
0.407,0.0990770610733414
0.408,0.102430126197287
0.409,0.105101538318734
0.41,0.10659303036672
0.411,0.10640661452258
0.412,0.104435902316039
0.413,0.101744818523988
0.414,0.099614964883423
0.415,0.0993234003231467
0.416,0.101404296804715
0.417,0.104831285299505
0.418,0.108381095653407
0.419,0.110842850465145
0.42,0.111689634270612
0.421,0.111421751120643
0.422,0.110624129214328
0.423,0.109871974886449
0.424,0.109480287484109
0.425,0.109481736537555
0.426,0.109894835909658
0.427,0.110734289390658
0.428,0.111956014316024
0.429,0.113469747950517
0.43,0.115183984896132
0.431,0.116999365192297
0.432,0.118739783537714
0.433,0.120185760567569
0.434,0.121117325758457
0.435,0.121376012192262
0.436,0.12120447859472
0.437,0.121006203721805
0.438,0.121185096812592
0.439,0.122046145013922
0.44,0.123452149312998
0.441,0.125142405395296
0.442,0.126856239238966
0.443,0.128403850023028
0.444,0.129814497247877
0.445,0.131159633132927
0.446,0.132510560599589
0.447,0.133910663045359
0.448,0.135342771599599
0.449,0.136781787312414
0.45,0.138202945912797
0.451,0.139601511863869
0.452,0.141003764303955
0.453,0.142438646813222
0.454,0.143933196903994
0.455,0.145460379954104
0.456,0.146932707902369
0.457,0.148259505378026
0.458,0.149363958089057
0.459,0.150393261630836
0.46,0.151675963876559
0.461,0.153545822729113
0.462,0.156277726923248
0.463,0.159548068043679
0.464,0.162684319103233
0.465,0.165009602113699
0.466,0.165974573866982
0.467,0.16589221781228
0.468,0.165432709051408
0.469,0.165267366876647
0.47,0.165927187076433
0.471,0.167293883721808
0.472,0.169061510942591
0.473,0.170924124853308
0.474,0.172635971310651
0.475,0.174143733150342
0.476,0.175432470520409
0.477,0.176487740971401
0.478,0.177402376167001
0.479,0.178509452883528
0.48,0.180174694952088
0.481,0.182757932129988
0.482,0.186235325046829
0.483,0.189970408711658
0.484,0.193271865322097
0.485,0.195468877628101
0.486,0.196507967270513
0.487,0.197046856092191
0.488,0.197782656713846
0.489,0.19936725888785
0.49,0.201686401311697
0.491,0.2039866356917
0.492,0.20549494527005
0.493,0.205540555669838
0.494,0.204534756394742
0.495,0.203539487440453
0.496,0.203625587294857
0.497,0.20570569918919
0.498,0.209583279015206
0.499,0.214587176914416
0.5,0.220044446955919
0.501,0.225337843383552
0.502,0.23011691618985
0.503,0.234111001993057
0.504,0.237049490106796
0.505,0.238840349012363
0.506,0.23998221050751
0.507,0.241095659776001
0.508,0.242800046895374
0.509,0.245404578886899
0.51,0.248501118467245
0.511,0.25158040859855
0.512,0.254138093253107
0.513,0.256017999243461
0.514,0.257637297186351
0.515,0.259466632961851
0.516000000000001,0.261961805233454
0.517,0.265103250985641
0.518,0.268307085022936
0.519,0.270956618532976
0.52,0.272477930470981
0.521,0.273057318740216
0.522,0.273534651138771
0.523,0.274771080530889
0.524,0.277542933377327
0.525,0.281691527396979
0.526,0.286478357945326
0.527,0.29115625597048
0.528,0.295079980089789
0.529,0.298345572856807
0.53,0.301376674615812
0.531,0.30459837395241
0.532000000000001,0.308327559461498
0.533,0.312344576644333
0.534,0.316263767678384
0.535,0.319699447653732
0.536,0.322447539569647
0.537,0.324925465955594
0.538,0.327683488125273
0.539,0.331270583484553
0.54,0.335856284420313
0.541,0.340703576179049
0.542,0.344942917631528
0.543,0.347714127988451
0.544,0.34888544353221
0.545,0.349562200863122
0.546,0.350969868426719
0.547,0.354303414505169
0.548,0.359717779885333
0.549,0.366095576378051
0.55,0.372241862593238
0.551,0.377013682038536
0.552,0.380238511459791
0.553,0.382603521632753
0.554,0.384825618409403
0.555,0.387587265003681
0.556,0.391175311729964
0.557,0.39562362761406
0.558,0.400961965395818
0.559,0.407157432132579
0.56,0.413704434996581
0.561,0.419881655906614
0.562,0.424966673701811
0.563,0.428434984371577
0.564,0.430778234485722
0.565,0.432813288154136
0.566,0.435357147129092
0.567,0.439085542687459
0.568,0.44417393925913
0.569,0.450687117189211
0.57,0.458688678959914
0.571,0.467827450875584
0.572,0.476728489661973
0.573,0.483861681142211
0.574,0.48771081883891
0.575,0.487949932645656
0.576,0.486338144722555
0.577,0.48484528801352
0.578,0.485411829860787
0.579,0.488909833213439
0.58,0.494864379077188
0.581,0.50271452802941
0.582,0.511885892430336
0.583,0.52154018286954
0.584,0.53059821178171
0.585,0.537971956107281
0.586,0.542686150546035
0.587,0.545115888120242
0.588,0.546526615634897
0.589,0.548199503934479
0.59,0.551272258125856
0.591,0.555759082311151
0.592,0.561144785007977
0.593,0.566911071063877
0.594,0.572631608526435
0.595,0.578368982281488
0.596,0.584347619851248
0.597,0.590792049765443
0.598,0.597796374406451
0.599,0.604976727828046
0.6,0.611839783481049
0.601,0.617893075233662
0.602,0.623010307658819
0.603,0.62799906399569
0.604,0.63381364937462
0.605,0.641400905948986
0.606,0.651002243310712
0.607,0.661584196072243
0.608,0.671979287621124
0.609,0.681041847764752
0.61,0.688474366892446
0.611,0.695081378293764
0.612,0.701741092025363
0.613,0.709295350415092
0.614,0.717835014161591
0.615,0.726744586752687
0.616,0.735381139331903
0.617,0.743155989227448
0.618,0.750158177121093
0.619,0.756937447063505
0.62,0.764052347918806
0.621,0.771984024860765
0.622,0.780584326415236
0.623,0.789398984069095
0.624,0.797971687727454
0.625,0.805916197234274
0.626,0.813232065857147
0.627,0.820050912465829
0.628,0.826504472410611
0.629,0.832788629115163
0.63,0.839342560923549
0.631,0.846663116142045
0.632,0.855246446551552
0.633,0.865224527596537
0.634,0.875769472615839
0.635,0.885897109879186
0.636,0.894629939533913
0.637,0.901690313702021
0.638,0.908105533645707
0.639,0.915045524969526
0.64,0.923660401909952
0.641000000000001,0.934274801792135
0.642,0.946107895999838
0.643,0.958301545107935
0.644,0.970003949168235
0.645000000000001,0.980501211248324
0.646,0.98921308371043
0.647,0.995564807387682
0.648,0.999108938852617
0.649,1.00105843095698
0.65,1.00378982278567
0.651,1.00970365276123
0.652,1.02082234438505
0.653,1.03597581028742
0.654,1.05239099302744
