Engineering Strain X,True Stress(MPa) Y
-2.77555756156289E-17,4.44089209850063E-16
0.000999999999999945,0.00352806603625933
0.00199999999999997,0.00675560269597675
0.00299999999999998,0.00938208060261125
0.004,0.0111071300425176
0.00499999999999998,0.0117863539753467
0.00600000000000001,0.0117229709485436
0.00699999999999998,0.0112999970422307
0.00799999999999998,0.0108995235067799
0.00899999999999998,0.0107561474037801
0.01,0.0107965369972636
0.011,0.0109087881458732
0.012,0.0109821098653624
0.013,0.0109713646983938
0.014,0.0109325303309546
0.015,0.0109302072483408
0.016,0.0110258401953436
0.017,0.0111867612640126
0.018,0.0112724021177217
0.019,0.0111362649566349
0.02,0.0106513526985048
0.021,0.0100348903250747
0.022,0.00979875666759122
0.023,0.0104643424401072
0.024,0.0124853891909793
0.025,0.0155427140270477
0.026,0.0188248081473161
0.027,0.0215122372980039
0.028,0.0228926466048676
0.029,0.0230887610447708
0.03,0.0226154004202157
0.031,0.021989649427101
0.032,0.0216512926749841
0.033,0.0216159277833294
0.034,0.0217544047825649
0.035,0.0219374499534317
0.036,0.0220578040391102
0.037,0.0220943904436903
0.038,0.0220472193801542
0.039,0.0219163374316933
0.04,0.0217318295962374
0.041,0.0216082059228135
0.042,0.0216746992867103
0.043,0.0220592151974506
0.044,0.0226940757515792
0.045,0.0231113160846919
0.046,0.022793994482651
0.047,0.0212341457818641
0.048,0.018427081848746
0.049,0.0151285377326187
0.05,0.0121574166121552
0.051,0.010311637419524
0.052,0.00978626566559848
0.0530000000000001,0.0100980373027744
0.0540000000000001,0.0107275429356695
0.055,0.0111753493578499
0.0560000000000001,0.0112841891688835
0.0570000000000001,0.0111842385281742
0.058,0.0110146010359804
0.059,0.0109052071042623
0.06,0.0108838474565442
0.061,0.0109144913196579
0.0620000000000001,0.0109601336879477
0.063,0.010987550723911
0.064,0.0109923290496883
0.065,0.010983314747381
0.066,0.0109694242393581
0.067,0.01095864581385
0.068,0.0109539849521405
0.069,0.0109567821429701
0.07,0.0109683766948323
0.071,0.0109873921341404
0.072,0.0110020465108396
0.073,0.0109980661378231
0.074,0.0109612008198359
0.075,0.0108937804998051
0.076,0.0108437753133863
0.077,0.0108669406928166
0.078,0.0110184365063279
0.079,0.0112721254914572
0.08,0.0114387516942736
0.081,0.0113095670729315
0.082,0.0106828881621599
0.083,0.00973397715382696
0.0839999999999999,0.00919686576350287
0.085,0.00985079072633655
0.0860000000000001,0.0124327906931718
0.0870000000000001,0.0165113654113367
0.088,0.020364596044482
0.0890000000000001,0.0222039144964454
0.09,0.0203568408652348
0.0910000000000001,0.0150810774032322
0.092,0.00822561918352749
0.0930000000000001,0.00168697864527845
0.094,-0.00275100002943729
0.0950000000000001,-0.00452730053956163
0.0960000000000001,-0.00383041574152232
0.097,-0.000859673282848306
0.0980000000000001,0.00410946759106601
0.099,0.0102347310468986
0.1,0.0164181567638741
0.101,0.0215605428929493
0.102,0.0247153210954063
0.103,0.0257376413064869
0.104,0.0247449656258749
0.105,0.0218549085980642
0.106,0.0174748023329547
0.107,0.0130984137247867
0.108,0.0104741280917744
0.109,0.0113485960298543
0.11,0.0164122117552039
0.111,0.0235074917028006
0.112,0.0300018059767768
0.113,0.0332740855083125
0.114,0.0321689575426363
0.115,0.0284143249981441
0.116,0.0240745373245694
0.117,0.0211895458580331
0.118,0.0205590206619046
0.119,0.0211788050513153
0.12,0.0219026543335548
0.121,0.0216281649418635
0.122,0.0204238206865672
0.123,0.0196271147184768
0.124,0.020639045556115
0.125,0.0247422593093871
0.126,0.0313085851155588
0.127,0.0381638884583815
0.128,0.0430896815616531
0.129,0.0440945031880307
0.13,0.0415891347738633
0.131,0.0374286308892917
0.132,0.0334877901076687
0.133,0.0314087649485146
0.134,0.0311410233618754
0.135,0.0318856961448342
0.136,0.0328405999905379
0.137,0.0333340980408883
0.138,0.0333654668394212
0.139,0.0331489126433731
0.14,0.0328987382428392
0.141,0.0327803841394068
0.142,0.0327799522268846
0.143,0.0328424104062348
0.144,0.0329127547756709
0.145,0.0329509197514617
0.146,0.0329562922276612
0.147,0.032934696748947
0.148,0.0328920273921192
0.149,0.0328423852292508
0.15,0.0328157007187206
0.151,0.0328437077808523
0.152,0.0329568134593585
0.153,0.0331210937041955
0.154,0.0332108270417471
0.155,0.033093253246042
0.156,0.032646997544
0.157,0.0320441178457629
0.158,0.0317687934695292
0.159,0.032320331398862
0.16,0.0341558309671073
0.161,0.037070471305499
0.162,0.0403338912283884
0.163,0.0432012538300879
0.164,0.0449841033107141
0.165,0.0455757312245408
0.166,0.0452124880749167
0.167,0.0441351528958509
0.168,0.0426434615804063
0.169,0.0414563919768365
0.17,0.0414745648147994
0.171,0.0435993316665169
0.172,0.0484022856713091
0.173,0.0547967849123423
0.174,0.0611760894098867
0.175,0.0659332958789936
0.176,0.067953227999737
0.177,0.0678871828364418
0.178,0.0667829804774445
0.179,0.0656876916869624
0.18,0.0653003452488496
0.181,0.0654195339722388
0.182,0.0657001628266856
0.183,0.0657991148581885
0.184,0.0655911237179967
0.185,0.0653629256200321
0.186,0.065447080597727
0.187,0.0661648792434302
0.188,0.067315991940855
0.189,0.0679697703395061
0.19,0.0671410693360923
0.191,0.0638890899705618
0.192,0.0583765320001701
0.193,0.0519181010063781
0.194,0.0458825557637352
0.195,0.0415900998534298
0.196,0.0396210611629093
0.197,0.0399793058359124
0.198,0.0426534670878729
0.199,0.047554799804443
0.2,0.0538158734454308
0.201,0.0601188779251616
0.202,0.0651405216073355
0.203,0.0677544705958129
0.204,0.0682033764895591
0.205,0.0673111335682464
0.206,0.06590375195128
0.207,0.064730882180029
0.208,0.0641664411630911
0.209,0.0644689725411576
0.21,0.0658969757922319
0.211,0.0685200703662674
0.212,0.0717437253370741
0.213,0.074827510332423
0.214,0.0770317419083964
0.215,0.077923001522699
0.216,0.0778441091220903
0.217,0.0772590118264631
0.218,0.0766302006412198
0.219,0.076270217145296
0.22,0.0762135226425267
0.221,0.0764643898281587
0.222,0.0770226957577886
0.223,0.0776938924740049
0.224,0.0780163334873594
0.225,0.0775089808969796
0.226,0.0757160261672123
0.227,0.0727881244993984
0.228,0.0694973108735328
0.229,0.0666438333952875
0.23,0.0649812254751945
0.231,0.0645711626006307
0.232,0.064946351067757
