Engineering Strain X,True Stress(MPa) Y
0.238,0.134554678671862
0.239,0.137862547584521
0.24,0.140613975267207
0.241,0.142504298022184
0.242,0.143326384800654
0.243,0.143342727027759
0.244,0.142956984685956
0.245,0.142572832913157
0.246,0.142479289672505
0.247,0.142570738272188
0.248,0.142656722468182
0.249,0.142547175726549
0.25,0.142193978929563
0.251,0.141901489555086
0.252,0.142027844893129
0.253,0.142929533703271
0.254,0.144803990888743
0.255,0.147559399456179
0.256,0.151073297292147
0.257,0.155218505606145
0.258,0.159668299663269
0.259,0.163826964964481
0.26,0.167079792138436
0.261,0.16885477705362
0.262,0.169572069375807
0.263,0.170649522636809
0.264,0.173548805632853
0.265,0.179605575945883
0.266,0.188341060512159
0.267,0.197915213216336
0.268,0.206454960652616
0.269,0.212278416860358
0.27,0.215534824530094
0.271,0.217392108485758
0.272,0.219029160076431
0.273,0.221452827034784
0.274,0.224527122387817
0.275,0.22765018458055
0.276,0.230218783227634
0.277,0.231888507704688
0.278,0.233534478425536
0.279,0.236390676000414
0.28,0.241691025714861
0.281,0.250014165450025
0.282,0.259730944242441
0.283,0.268747733313351
0.284,0.274973845123747
0.285,0.277275682526131
0.286,0.27684821488184
0.287,0.27523377310066
0.288,0.273970464285271
0.289,0.274213865538083
0.29,0.2764373315669
0.291,0.281043690721691
0.292,0.288411095037596
0.293,0.297918281810313
0.294,0.307622012462634
0.295,0.315488273487482
0.296,0.319572558848618
0.297,0.319941147425815
0.298,0.318644853583973
0.299,0.317818748988496
0.3,0.319478803529862
0.301,0.323973200377107
0.302,0.330422327932603
0.303,0.337918067054756
0.304,0.345563027724895
0.305,0.35256009509302
0.306,0.358166860055412
0.307,0.361641465907878
0.308,0.362477618318998
0.309,0.361698949744972
0.31,0.360940144153054
0.311,0.361837485896444
0.312,0.365600560369795
0.313,0.371471401047531
0.314,0.378125302753636
0.315,0.384237581093592
0.316,0.388810750510344
0.317,0.39192649321366
0.318,0.393888662435607
0.319,0.395001959003818
0.32,0.3958187719217
0.321,0.397481965563109
0.322,0.401220515300622
0.323,0.408251044117554
0.324,0.418738217038623
0.325,0.431006738439241
0.326,0.443195746004804
0.327,0.453470861013891
0.328,0.461025406835674
0.329,0.466386660324616
0.33,0.47017094135362
0.331,0.472992305269705
0.332,0.475415592812575
0.333,0.477957973381995
0.334,0.481134660603539
0.335,0.485422248712512
0.336,0.490771268485987
0.337,0.496752243294388
0.338,0.502927260367688
0.339,0.508895271354525
0.34,0.514591489351147
0.341,0.520131020459481
0.342,0.525630671331473
0.343,0.531192401176965
0.344,0.536823877394225
0.345,0.542495871775301
0.346,0.548179070482454
0.347,0.55384854623143
0.348,0.559499166405248
0.349,0.565131379381783
0.35,0.570745635526873
0.351,0.576347932826598
0.352,0.581962181785587
0.353,0.587615901445502
0.354,0.593336468310337
0.355,0.599113674163094
0.356,0.604849510402972
0.357,0.610433452164309
0.358,0.615757234440932
0.359,0.620893870403086
0.36,0.626227348570372
0.361,0.632172249363783
0.362,0.639133650150302
0.363,0.647163014099785
0.364,0.655861393544626
0.365,0.664800622469111
0.366,0.673540554994618
0.367,0.681389060688787
0.368,0.687414453641941
0.369,0.690675555890762
0.37,0.690399523497312
0.371,0.688044671762626
0.372,0.68665071227831
0.373,0.689290892110768
0.374,0.698587741160488
0.375,0.713150664635193
0.376,0.729483860438387
0.377,0.744072933885895
0.378,0.753981002103925
0.379,0.759857730881083
0.38,0.763727596300123
0.381,0.767617883610646
0.382,0.773064073319396
0.383,0.779429710242868
0.384,0.785478959981008
0.385,0.789976217142387
0.386,0.792319640330587
0.387,0.793910811349873
0.388,0.796546229773955
0.389,0.802018609503397
0.39,0.811215982212603
0.391,0.822955297853954
0.392,0.835764935249436
0.393,0.84817828219173
0.394,0.859107798567696
0.395,0.86810375603182
0.396,0.874777616512098
0.397,0.878768108586499
0.398,0.88068763041249
0.399,0.88236562264671
0.4,0.885708227952609
0.401,0.892535351313777
0.402,0.902910540988921
0.403,0.915258598636233
0.404,0.927941645686857
0.405,0.939400089801295
0.406,0.949084246457343
0.407,0.957146751020154
0.408,0.963754451891353
0.409,0.969130789136972
0.41,0.973991135697304
0.411,0.979303893263892
0.412,0.986039546799096
0.413,0.994871515087834
0.414,1.00466896705157
0.415,1.0136235861007
0.416,1.01992584558935
0.417,1.02249327929127
0.418,1.02338582400726
0.419,1.02551219544106
0.42,1.03178048267263
0.421,1.0438166506467
0.422,1.05927846002285
0.423,1.07505830540887
0.424,1.08805478210995
0.425,1.09651490295988
0.426,1.10171098404229
0.427,1.10532730209448
0.428,1.10903843483743
0.429,1.11382542653398
0.43,1.11952473723729
0.431,1.12586575779812
0.432,1.13258774206782
0.433,1.13976818469012
0.434,1.1478994805861
0.435,1.15749942041802
0.436,1.16902704414381
0.437,1.18178233634326
0.438,1.19400390998194
0.439,1.20389121156001
0.44,1.20982340688208
0.441,1.21243668973613
0.442,1.21390724930851
0.443,1.21644098572593
0.444,1.2219807155011
0.445,1.23023627113701
0.446,1.23979138320192
0.447,1.2492211587018
0.448,1.25727156328085
0.449,1.26370350251375
0.45,1.26865117764868
0.451,1.27224936812727
0.452,1.27475115420374
0.453,1.27691002182957
0.454,1.27961174542321
0.455,1.28374178577444
0.456,1.28968062475921
0.457,1.29627843020391
0.458,1.30209658336218
