Engineering Strain-X,Engineering Stress(MPa)-Y
-2.77555756156289E-17,0.0003029897285029
0.001,0.000295129956004558
0.00199999999999997,0.000301761419735064
0.003,0.000582303669393575
0.004,0.000832190249399817
0.005,0.000928387810875453
0.00600000000000001,0.000917151704014407
0.00700000000000001,0.00123875070571983
0.00800000000000001,0.00121056381890491
0.00900000000000001,0.00133552854800087
0.01,0.00152003060742495
0.011,0.00156099733714632
0.012,0.00189931650153255
0.013,0.00194062658599559
0.014,0.00204273622261283
0.015,0.00226736681124329
0.016,0.00234169670896628
0.017,0.00245379335556317
0.018,0.0025248229297348
0.019,0.00281206697459641
0.02,0.0029666264855969
0.021,0.00293183857433268
0.022,0.00310716509441633
0.023,0.00330711560342864
0.024,0.00340347583843631
0.025,0.00339719129343938
0.026,0.0035867771041653
0.027,0.00383052129870207
0.028,0.00388415667006806
0.029,0.00401045933363073
0.03,0.00418502973502027
0.031,0.00411546174948249
0.032,0.00465667912995471
0.033,0.00467406799175499
0.034,0.00472357860286804
0.035,0.00484268811070809
0.036,0.00502097424188222
0.037,0.00531774709719599
0.038,0.00536613956316609
0.039,0.00544653083284813
0.04,0.00552014494329625
0.041,0.00577313413083236
0.042,0.00576877030339223
0.043,0.00595621203650953
0.044,0.00610488716605009
0.045,0.00620348608885188
0.046,0.00637379828661164
0.047,0.00646835882787253
0.048,0.00675536929022971
0.049,0.00680562845573215
0.05,0.00683663674294463
0.051,0.00715647488476137
0.052,0.00701978959048269
0.0530000000000001,0.00786809942606973
0.054,0.00706432715352379
0.055,0.00805013981171807
0.056,0.00813050138090241
0.0570000000000001,0.00833405587961941
0.058,0.00825366870615441
0.0590000000000001,0.00814055368103106
0.06,0.00768714130795561
0.061,0.0083677492478591
0.0620000000000001,0.00849132185550416
0.063,0.00919585163334896
0.064,0.00927904743632349
0.065,0.0100304085416532
0.066,0.00965735614709071
0.067,0.0101509547013941
0.068,0.010295463680481
0.069,0.0106651933504409
0.07,0.0106348417044818
0.0710000000000001,0.010712368873279
0.072,0.00980262494120193
0.073,0.0102897567553239
0.074,0.0115000240924692
0.075,0.0113693766915681
0.076,0.0100934691290409
0.077,0.0099981512475707
0.078,0.0115887594048145
0.079,0.0121223006013354
0.08,0.0120893230689235
0.081,0.0124330390134542
0.0820000000000001,0.0126523203765165
0.083,0.0125687163114555
0.084,0.0121310701123894
0.085,0.0116828806794376
0.0860000000000001,0.012117111250903
0.0870000000000001,0.0134488229783665
0.088,0.0134559654440506
0.089,0.013721487108675
0.0900000000000001,0.0139274782666086
0.091,0.0140832249839387
0.092,0.0141030868243353
0.093,0.0141033250083075
0.094,0.0144142992141104
0.095,0.0144769274689238
0.096,0.0147224948540324
0.097,0.0147752791452825
0.098,0.0148111695113374
0.099,0.0152431804105444
0.1,0.0153045461453412
